time,RCC_HMI,systemd,dbus-daemon,procbase_out.ou,mmcqd/1,systemd-udevd,dbus-monitor,systemctl,fc_bluetooth_ou,ccamediaplayer_,proctuner_out.o,procaudio_out.o,sshd,systemd-cgroups,systemd-readahe,fc_phone_out.ou,fc_phonebook_ou,fc_messaging_ou,spi0,fc_vehiclefuncm,EngMode,TactileTest,acl_tuner_out.o,dlt-daemon,udevadm,procdiagnosis_o,AudioManager,vd_early_out.ou,cat,ksoftirqd/0,mount,fc_engineeringm,acl_settings_ou,irq/66-2014000.,mkadc_testlink.,spi1,SSI32,mkadc_symlink.s,vd_devicemanage,LayerManagerSer,kworker/0:1H,procdimming_out,systemd-journal,kmodule_loader,fc_dataservices,modprobe,playerengine_ou,acl_phone_out.o,bluetoothservic,app_fcswupdate_,procinput_out.o,rcu_preempt,mediaengine_out,audio_master_ou,acl_media_out.o,procmw_out.out,climate_out.out,chown,acl_connectivit,vd_ipodauth_out,procdiaglog_out,acl_climate_out,kthreadd,automounter,fc_connect_out.,fc_alert_out.ou,chmod,trace_dlt_be,fc_cdplayer_out,fc_servicemanag,irq/63-2008000.,sh,fc_obc_out.out,csm_proc_out.ou,acl_obc_out.out,fc_hybrid_out.o,app_screentest_,network.sh,appcontrol_out.,connmand,fc_vpas_out.out,acl_parkingaid_,grep,displaymanager_,acl_audio_out.o,acl_drive_out.o,acl_update_out.,acl_hybrid_out.,modify_gpio_adc,fc_usb_out.out,fc_atb_out.out,rm,screencalibrati,acl_alert_out.o,fc_exportservic,usermanagement_,ecnr_out.out,fc_clock_out.ou,acl_speedcontro,swu_common_lcm_,Misc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,0,0.2765712,0,0,0.08797974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165282,0,0,0,0,0,0.0013398,0.00040914,0,0,0,0.00886578,0,0,0,0,0,0,0,0,0,0,0.00174222,0,0,0,0,0,0,0,0,0,0,0.00170142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01426518
1.5,0,0.45324078,0,0,0.10481572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040971,0.04974552,0,0,0,0,0,0,0,0,0,0.0177627,0,0,0.0554334,0,0.06614274,0,0,0,0,0,0.00456204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13963608
1.75,0,0.0769605,0,0,0.10263902,0,0,0,0,0,0,0,0,0.15326226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495432,0.17530398,0,0,0,0,0.00139404,0.0004578,0,0,0,0.01465302,0,0,0.05616882,0,0.05345742,0,0,0,0,0,0.0048756,0,0,0,0,0,0,0,0,0,0,0.00942996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34644326
2,0,0.1602762,0,0,0.25483608,0,0,0,0,0,0,0,0,0.08926278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566496,0.30276018,0,0,0,0,0,0,0,0,0,0.02493204,0,0,0,0,0.00189438,0,0,0,0,0,0.0038112,0,0,0,0,0,0,0,0,0,0,0.0127197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14384248
2.25,0,0.34160496,0,0,0.17698392,0,0,0,0,0,0,0,0,0.06886936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555564,0.36253722,0,0,0,0,0.00134532,0.00044412,0,0,0,0.01340124,0,0,0,0,0.0006684,0,0,0,0,0,0.0036201,0,0,0,0,0,0,0,0,0,0,0.00506964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01990008
